Path,File Name,Position
Views\RISApp\RISFeatureDisplay\,RISFeatureDisplay.cshtml,22 <div id="ScrollFormCloseNav_Btn" class="d-flex justify-content-center align-items-center">...
Views\RISApp\RISFeatureDisplay\,RISFeatureDisplay.cshtml,23 <i id="ScrollFormCloseNav_Btn_Icon" class="fas fa-chevron-left nudge-icon"></i>...
Shared\EditorTemplates\,IrisEditor.cshtml,22 <button id="ScrollFormCloseNav_Btn" class="i-button-dark" type="button">...
Shared\EditorTemplates\,IrisEditor.cshtml,23 <i id="ScrollFormCloseNav_Btn_Icon" class="fa-solid fa-chevron-left"></i>...
src\sass\components\,_scrollformeditor.scss,78 #ScrollFormCloseNav_Btn > i ...
typescript\controllers\,scrollformeditor.ts,82 $.on("click"...
typescript\controllers\,scrollformeditor.ts,95 $.on("mouseover"...
typescript\controllers\,scrollformeditor.ts,96 $.addClass;...
typescript\controllers\,scrollformeditor.ts,99 $.on("mouseout"...
typescript\controllers\,scrollformeditor.ts,100 $.removeClass;...
